Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes,
PAPER,FAZ,USD,1.00,2023-05-30,Call,100 ,16.00 ,2023-10-20,643.79 ,,
LOC,LOC,CAD,0.00,2023-06-05,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,PG,USD,0.30,2023-06-26,Put,100 ,150.00 ,2023-08-18,438.79 ,,
PAPER,WMT,USD,0.30,2023-06-26,Put,100 ,160.00 ,2023-08-18,583.79 ,,
LOC,LOC,CAD,0.00,2023-07-05,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,PSU.U,USD,0.30,2023-07-17,Stk,177 ,,,"-17,750.97 ",,
PAPER,AMZN,USD,0.30,2023-07-24,Put,200 ,135.00 ,2023-10-20,"2,062.53 ",,
PAPER,BABA,USD,0.30,2023-07-25,Stk,-17 ,0.00 ,,"2,451.23 ",,
PAPER,BABA,USD,0.30,2023-07-25,Cap Gains,,0.00 ,,-885.99 ,"sold stock (profit from BV TFSA, loss margin BV)",
PAPER,CM,CAD,0.00,2023-07-28,Div,0 ,0.00 ,,51.33 ,,
LOC,LOC,CAD,0.00,2023-08-04,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,PSU.U,USD,0.30,2023-08-08,Div,0 ,,,74.34 ,,
PAPER,NTINV,CAD,0.00,2023-08-17,Cash,0 ,0.00 ,9999-12-31,411.68 ,Invest - Pre Convert,
PAPER,NTINV,USD,0.00,2023-08-17,Cash,0 ,0.00 ,9999-12-31,71.92 ,Invest - Pre Convert,
PAPER,WMT,USD,0.30,2023-08-17,Put,-100 ,160.00 ,2023-08-18,-317.20 ,,
PAPER,WMT,USD,0.30,2023-08-17,Put,100 ,160.00 ,2023-09-15,405.79 ,,
PAPER,PG,USD,0.30,2023-08-21,Put,-100 ,150.00 ,2023-08-18,0.00 ,,
LOC,LOC,CAD,0.00,2023-09-03,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,PSU.U,USD,0.30,2023-09-08,Div,0 ,,,88.75 ,,
PAPER,WMT,USD,0.30,2023-09-12,Put,-100 ,160.00 ,2023-09-15,-15.20 ,,
PAPER,AMZN,USD,0.30,2023-09-12,Put,200 ,145.00 ,2023-11-17,"1,802.53 ",,
PAPER,MSFT,USD,0.00,2023-09-14,Div,0 ,0.00 ,,31.96 ,,
PAPER,MSFT,USD,0.00,2023-09-14,Int / Tax,0 ,0.00 ,,-4.79 ,,
PAPER,CSX,USD,0.30,2023-09-15,Put,300 ,30.00 ,2023-10-20,126.29 ,,
PAPER,NTINV,CAD,0.00,2023-09-26,Cash,0 ,0.00 ,9999-12-31,513.16 ,Invest - Pre Convert,
PAPER,CM,CAD,0.30,2023-09-26,Stk,25 ,0.00 ,,-513.16 ,move over stock from ESPP,
PAPER,CM,CAD,0.30,2023-10-03,Stk,-84 ,0.00 ,,"3,853.15 ",,
PAPER,CM,CAD,0.30,2023-10-03,Cap Gains,,0.00 ,,553.58 ,sold stock,
LOC,LOC,CAD,0.00,2023-10-03,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,NTINV,CAD,0.00,2023-10-06,Cash,0 ,0.00 ,9999-12-31,"4,848.80 ",Invest - Pre Convert,
PAPER,CM,CAD,0.30,2023-10-06,Stk,95 ,0.00 ,,"-4,848.80 ",move over stock from employee loan,
PAPER,PSU.U,USD,0.30,2023-10-10,Div,0 ,,,77.83 ,,
PAPER,AMZN,USD,0.30,2023-10-19,Put,-200 ,135.00 ,2023-10-20,"-1,297.45 ",,
PAPER,AMZN,USD,0.30,2023-10-19,Put,200 ,135.00 ,2023-11-17,"1,902.53 ",,
PAPER,FAZ,USD,1.00,2023-10-19,Call,-100 ,16.00 ,2023-10-20,-441.20 ,,
PAPER,FAZ,USD,1.00,2023-10-19,Call,100 ,16.00 ,2023-12-15,433.79 ,,
PAPER,CSX,USD,0.30,2023-10-20,Put,-300 ,30.00 ,2023-10-20,0.00 ,expired,
PAPER,MSFT,USD,0.30,2023-10-25,Stk,-47 ,0.00 ,,"13,679.69 ",,
PAPER,MSFT,USD,0.30,2023-10-25,Cap Gains,,0.00 ,,"2,530.23 ",sold stock (moved over to RSP),
PAPER,PSU.U,USD,0.30,2023-10-25,Stk,-177 ,0.00 ,,"17,750.97 ",,
PAPER,PSU.U,USD,0.30,2023-10-25,Cap Gains,,0.00 ,,16.65 ,sold stock (waiting for margin ruling),
PAPER,GOOG,USD,0.30,2023-10-25,Put,200 ,135.00 ,2023-11-17,"1,437.58 ",,
PAPER,GOOG,USD,0.30,2023-10-25,Put,100 ,130.00 ,2023-11-17,453.79 ,,
PAPER,CSX,USD,0.30,2023-10-25,Put,300 ,30.00 ,2023-11-17,246.29 ,,
PAPER,CM,CAD,0.00,2023-10-27,Div,0 ,0.00 ,,73.08 ,,
LOC,LOC,CAD,0.00,2023-11-02,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,AMZN,USD,0.30,2023-11-06,Put,-200 ,135.00 ,2023-11-17,-195.45 ,close out early to redeploy BP,
PAPER,LOW,USD,0.30,2023-11-06,Put,200 ,190.00 ,2023-12-15,"1,052.54 ",,
PAPER,GOOG,USD,0.30,2023-11-09,Put,100 ,135.00 ,2023-12-15,428.79 ,,
PAPER,GOOG,USD,0.30,2023-11-16,Put,-200 ,135.00 ,2023-11-17,-21.45 ,close out early to redeploy BP,
PAPER,EL,USD,0.30,2023-11-16,Put,200 ,125.00 ,2023-12-15,"1,172.54 ",,
PAPER,DG,USD,0.30,2023-11-16,Put,200 ,120.00 ,2023-12-15,"1,432.53 ",,
PAPER,AMZN,USD,0.30,2023-11-17,Put,-200 ,145.00 ,2023-11-17,0.00 ,expired,
PAPER,CSX,USD,0.30,2023-11-17,Put,-300 ,30.00 ,2023-11-17,0.00 ,expired,
PAPER,GOOG,USD,0.30,2023-11-20,Put,-100 ,130.00 ,2023-11-17,0.00 ,expired,
PAPER,FAZ,USD,1.00,2023-11-22,Call,-100 ,16.00 ,2023-12-15,-111.20 ,close out early to finally get rid of it,
PAPER,ENPH,USD,0.30,2023-11-22,Put,200 ,100.00 ,2023-12-15,892.54 ,,
PAPER,ENPH,USD,0.30,2023-11-22,Put,100 ,105.00 ,2023-12-15,743.79 ,,
PAPER,ALB,USD,0.30,2023-11-27,Put,100 ,120.00 ,2023-12-15,443.79 ,,
PAPER,GOOG,USD,0.30,2023-12-01,Put,200 ,135.00 ,2023-12-15,682.54 ,,
PAPER,LOW,USD,0.30,2023-12-01,Put,-200 ,190.00 ,2023-12-15,-95.45 ,close out early to redeploy BP,
LOC,LOC,CAD,0.00,2023-12-02,LOC,0 ,0.00 ,9999-12-31,"2,000.00 ",LOC - Regular Payments,
PAPER,AMZN,USD,0.30,2023-12-04,Put,200 ,145.00 ,2023-12-15,486.54 ,,
PAPER,GOOG,USD,0.30,2023-12-04,Put,100 ,135.00 ,2023-12-15,503.79 ,,
PAPER,EL,USD,0.30,2023-12-04,Put,-200 ,125.00 ,2023-12-15,-67.45 ,close out early to redeploy BP,
PAPER,ISRG,USD,0.30,2023-12-08,Put,100 ,310.00 ,2024-01-19,"1,113.79 ",,
PAPER,DG,USD,0.30,2023-12-08,Put,-200 ,120.00 ,2023-12-15,-25.45 ,,
PAPER,META,USD,0.30,2023-12-08,Stk,-29 ,0.00 ,,"9,681.62 ",,
PAPER,META,USD,0.30,2023-12-08,Cap Gains,,0.00 ,,-150.29 ,sold stock (moved over to RSP),
PAPER,MSFT,USD,0.30,2023-12-08,Put,-100 ,340.00 ,2024-12-20,"-1,956.20 ","closing for loss, BUT up on $800 on trade overall and redeploying 11m sooner",
PAPER,GOOG,USD,0.30,2023-12-08,Put,200 ,140.00 ,2024-01-19,"1,122.54 ",,
PAPER,AMZN,USD,0.30,2023-12-14,Put,200 ,150.00 ,2024-01-19,"1,012.54 ",,
PAPER,GOOG,USD,0.30,2023-12-15,Put,-400 ,135.00 ,2023-12-15,-481.85 ,closed and rolling into MSFT,
PAPER,DG,USD,0.30,2023-12-15,Put,200 ,130.00 ,2024-01-19,912.54 ,,
PAPER,AMZN,USD,0.30,2023-12-15,Put,-200 ,145.00 ,2023-12-15,0.00 ,expired,
PAPER,ALB,USD,0.30,2023-12-18,Put,-100 ,120.00 ,2023-12-15,0.00 ,expired,
PAPER,ENPH,USD,0.30,2023-12-18,Put,-200 ,100.00 ,2023-12-15,0.00 ,expired,
PAPER,ENPH,USD,0.30,2023-12-18,Put,-100 ,105.00 ,2023-12-15,0.00 ,expired,
PAPER,MSFT,USD,0.30,2023-12-18,Put,200 ,380.00 ,2024-01-19,"2,532.52 ",,
PAPER,EL,USD,0.30,2023-12-19,Put,200 ,145.00 ,2024-01-19,"1,192.53 ","closing for loss, BUT up on $800 on trade overall and redeploying 11m sooner",
PAPER,EL,USD,0.30,2023-12-19,Put,100 ,145.00 ,2024-01-19,443.79 ,"closing for loss, BUT up on $800 on trade overall and redeploying 11m sooner",
PAPER,NTINV,CAD,0.00,2023-12-19,Cash,0 ,0.00 ,9999-12-31,"2,500.00 ",Invest - Pre Convert,
PAPER,CM,CAD,0.30,2023-12-19,Stk,-95 ,0.00 ,,"4,848.80 ",,
PAPER,CM,CAD,0.30,2023-12-19,Cap Gains,,0.00 ,,999.20 ,sold stock,
PAPER,NTINV,CAD,0.00,2023-12-21,Cash,0 ,0.00 ,9999-12-31,"-7,492.97 ",Invest - FX Conversion,
PAPER,NTINV,USD,0.00,2023-12-21,Cash,0 ,0.00 ,9999-12-31,"5,540.02 ",Invest - FX Conversion,
PAPER,NTINV,CAD,0.00,2023-12-21,Cash,0 ,0.00 ,9999-12-31,"3,000.00 ",Invest - Pre Convert,
