Acct,Ticker,Currency,Margin %,Date,Trans Type,Shares,Strike/Price,Expiry,Net Gains,Notes
OKANE,ALGN,USD,0.3,2024-05-22,Put,200,270,2024-06-21,"2,750.47",
OKANE,TEAM,USD,0.3,2024-05-22,Put,300,175,2024-06-21,"1,953.24",
OKANE,YZINV,USD,0.3,2024-05-23,Cash,0,0,9999-12-31,"15,604.34",Rebalancing - Transfer to OKANE
OKANE,MNST,USD,0.3,2024-05-23,Put,600,55,2024-06-21,"1,545.50",
OKANE,EW,USD,0.3,2024-05-23,Put,300,90,2024-06-21,"1,041.27",
OKANE,YZINV,CAD,0.3,2024-05-30,Cash,0,0,9999-12-31,"-8,000.00",Invest - FX Conversion
OKANE,YZINV,USD,0.3,2024-05-30,Cash,0,0,9999-12-31,"5,799.41",Invest - FX Conversion
OKANE,YZINV,CAD,0.3,2024-05-30,Cash,0,0,9999-12-31,"8,000.00",Invest - Pre Convert
OKANE,FTNT,USD,0.3,2024-05-30,Put,-700,67.5,2024-06-21,"-6,209.84",
OKANE,FTNT,USD,0.3,2024-05-30,Put,700,67.5,2024-07-19,"6,564.11",
LOC,LOC,CAD,0,2024-06-03,LOC,0,0,9999-12-31,"-3,000.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-06-03,Cash,0,0,9999-12-31,"3,000.00",Margin Cover
OKANE,DG,USD,0.3,2024-06-03,Put,-600,160,2024-06-21,"-14,423.67",
OKANE,CRWD,USD,0.3,2024-06-03,Put,200,350,2024-06-28,"9,610.28",
OKANE,CRWD,USD,0.3,2024-06-03,Put,100,350,2024-06-21,"4,941.66",
OKANE,CRWD,USD,0.3,2024-06-05,Put,-200,350,2024-06-28,"-3,609.45",
OKANE,DG,USD,0.3,2024-06-05,Put,600,145,2024-06-21,"6,285.37",
OKANE,ALB,USD,0.3,2024-06-07,Put,100,115,2024-06-21,381.78,
LOC,LOC,CAD,0,2024-06-10,LOC,0,0,9999-12-31,"3,000.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-06-10,Cash,0,0,9999-12-31,"-3,000.00",Margin Cover
OKANE,DG,USD,0.3,2024-06-10,Put,-600,145,2024-06-21,"-10,170.49",
OKANE,DG,USD,0.3,2024-06-10,Put,600,145,2024-07-19,"10,245.26",
LOC,LOC,CAD,0,2024-06-14,LOC,0,0,9999-12-31,"2,000.00",LOC - Regular Payments
LOC,LOC,CAD,0,2024-06-17,LOC,0,0,9999-12-31,"-6,000.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-06-17,Cash,0,0,9999-12-31,"6,000.00",Margin Cover
OKANE,MNST,USD,0.3,2024-06-17,Put,-600,55,2024-06-21,"-3,982.21",
OKANE,MNST,USD,0.3,2024-06-17,Put,600,55,2024-07-19,"3,651.44",
OKANE,TEAM,USD,0.3,2024-06-17,Put,-300,175,2024-06-21,"-5,748.96",
OKANE,TEAM,USD,0.3,2024-06-17,Put,300,175,2024-07-19,"5,929.13",
OKANE,ALGN,USD,0.3,2024-06-18,Put,-200,290,2024-06-21,"-8,817.77",
OKANE,ALGN,USD,0.3,2024-06-18,Put,-200,270,2024-06-21,"-4,709.45",
OKANE,ALGN,USD,0.3,2024-06-18,Put,400,280,2024-07-19,"13,987.66",
LOC,LOC,CAD,0,2024-06-21,LOC,0,0,9999-12-31,"-23,000.00",Short Term Juicing - LOC
OKANE,YZINV,CAD,0.3,2024-06-21,Cash,0,0,9999-12-31,"23,000.00",Short Term Juicing
OKANE,CRWD,USD,0.3,2024-06-21,Put,-100,350,2024-06-21,0,
OKANE,EW,USD,0.3,2024-06-21,Put,-300,90,2024-06-21,0,
OKANE,NVDA,USD,0.3,2024-06-21,Put,500,120,2024-07-19,"1,886.74",
OKANE,ALB,USD,0.3,2024-06-21,Put,-100,115,2024-06-21,0,
OKANE,ALB,USD,0.3,2024-06-21,Stk,100,0,9999-12-31,"-11,508.20",
LOC,LOC,CAD,0,2024-06-24,LOC,0,0,9999-12-31,"6,000.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-06-24,Cash,0,0,9999-12-31,"-6,000.00",Margin Cover
LOC,LOC,CAD,0,2024-06-24,LOC,0,0,9999-12-31,"8,000.00",Short Term Juicing - LOC
LOC,LOC,CAD,0,2024-06-24,LOC,0,0,9999-12-31,"11,000.00",Short Term Juicing - LOC
OKANE,YZINV,CAD,0.3,2024-06-24,Cash,0,0,9999-12-31,"-11,000.00",Short Term Juicing
OKANE,YZINV,CAD,0.3,2024-06-24,Cash,0,0,9999-12-31,"-8,000.00",Short Term Juicing
OKANE,MNST,USD,0.3,2024-06-26,Put,-600,55,2024-07-19,"-2,836.95",
OKANE,MNST,USD,0.3,2024-06-26,Put,600,55,2024-08-16,"2,745.47",
OKANE,FTNT,USD,0.3,2024-06-27,Put,-600,67.5,2024-07-19,"-4,594.40",
OKANE,FTNT,USD,0.3,2024-06-27,Put,600,67.5,2024-08-16,"4,995.41",
OKANE,ALB,USD,0.3,2024-07-02,Int / Tax,100,115,2024-07-19,51.79,Selling Covered Calls
LOC,LOC,CAD,0,2024-07-05,LOC,0,0,9999-12-31,"4,000.00",Short Term Juicing - LOC
OKANE,YZINV,CAD,0.3,2024-07-05,Cash,0,0,9999-12-31,"-4,000.00",Short Term Juicing
OKANE,TEAM,USD,0.3,2024-07-05,Put,-300,175,2024-07-19,-325.7,
OKANE,LULU,USD,0.3,2024-07-05,Put,200,305,2024-07-19,"1,890.49",
OKANE,FTNT,USD,0.3,2024-07-05,Put,-100,67.5,2024-07-19,-637.45,
OKANE,FTNT,USD,0.3,2024-07-05,Put,100,67.5,2024-08-16,736.97,
LOC,LOC,CAD,0,2024-07-10,LOC,0,0,9999-12-31,"-17,000.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-07-10,Cash,0,0,9999-12-31,"17,000.00",Margin Cover
OKANE,NVDA,USD,0.3,2024-07-10,Put,-500,120,2024-07-19,-188.2,
OKANE,TEAM,USD,0.3,2024-07-10,Put,300,170,2024-07-19,"1,129.26",
OKANE,CRWD,USD,0.3,2024-07-10,Put,100,370,2024-07-19,901.77,
OKANE,DG,USD,0.3,2024-07-10,Put,-600,145,2024-07-19,"-11,183.51",
OKANE,DG,USD,0.3,2024-07-10,Put,600,145,2024-09-20,"11,415.23",
OKANE,ALGN,USD,0.3,2024-07-10,Put,-400,280,2024-07-19,"-13,211.95",
OKANE,ALGN,USD,0.3,2024-07-10,Put,400,280,2024-08-16,"14,987.63",
LOC,LOC,CAD,0,2024-07-11,LOC,0,0,9999-12-31,"7,500.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-07-11,Cash,0,0,9999-12-31,"-7,500.00",Margin Cover
OKANE,TEAM,USD,0.3,2024-07-12,Put,-300,170,2024-07-19,-157.7,
OKANE,NKE,USD,0.3,2024-07-12,Put,400,75,2024-08-16,"1,008.02",
OKANE,FTNT,USD,0.3,2024-07-17,Put,-700,67.5,2024-08-16,"-6,315.70",
OKANE,DG,USD,0.3,2024-07-17,Put,-200,145,2024-09-20,"-4,509.45",
OKANE,MNST,USD,0.3,2024-07-17,Put,-600,55,2024-08-16,"-2,714.45",
OKANE,CRWD,USD,0.3,2024-07-17,Put,100,370,2024-07-19,"1,391.76",
OKANE,AMZN,USD,0.3,2024-07-17,Put,300,210,2024-08-16,"7,339.09",
LOC,LOC,CAD,0,2024-07-18,LOC,0,0,9999-12-31,"-5,000.00",Margin Cover - LOC
LOC,LOC,CAD,0,2024-07-18,LOC,0,0,9999-12-31,"-2,500.00",Margin Cover - LOC
LOC,LOC,CAD,0,2024-07-18,LOC,0,0,9999-12-31,"-6,500.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-07-18,Cash,0,0,9999-12-31,"2,500.00",Margin Cover
OKANE,YZINV,CAD,0.3,2024-07-18,Cash,0,0,9999-12-31,"5,000.00",Margin Cover
OKANE,YZINV,CAD,0.3,2024-07-18,Cash,0,0,9999-12-31,"6,500.00",Margin Cover
OKANE,DG,USD,0.3,2024-07-18,Put,-400,145,2024-09-20,"-9,811.95",
OKANE,TTD,USD,0.3,2024-07-18,Put,400,110,2024-08-16,"6,587.86",
OKANE,CRWD,USD,0.3,2024-07-18,Put,-200,370,2024-07-19,"-5,565.74",
OKANE,CRWD,USD,0.3,2024-07-18,Put,200,370,2024-08-16,"6,353.61",
OKANE,EW,USD,0.3,2024-07-18,Put,300,95,2024-08-16,"2,692.26",
OKANE,LULU,USD,0.3,2024-07-19,Put,-200,305,2024-07-19,0,
OKANE,LULU,USD,0.3,2024-07-19,Stk,200,0,9999-12-31,"-61,009.45",
OKANE,ALB,USD,0.3,2024-07-22,Int / Tax,100,115,2024-08-16,79.79,Selling Covered Calls
OKANE,CRWD,USD,0.3,2024-07-23,Put,-200,370,2024-08-16,"-19,617.92",
OKANE,CRWD,USD,0.3,2024-07-23,Put,200,370,2024-10-18,"19,989.99",
LOC,LOC,CAD,0,2024-07-25,LOC,0,0,9999-12-31,"-24,000.00",Margin Cover - LOC
OKANE,YZINV,CAD,0.3,2024-07-25,Cash,0,0,9999-12-31,"24,000.00",Margin Cover
OKANE,LULU,USD,0.3,2024-07-25,Int / Tax,200,305,2024-09-06,490.53,Selling Covered Calls
OKANE,ALGN,USD,0.3,2024-07-25,Put,-400,280,2024-08-16,"-19,811.95",
OKANE,ALGN,USD,0.3,2024-07-25,Put,400,280,2024-10-18,"20,227.48",
OKANE,EW,USD,0.3,2024-07-25,Put,-300,95,2024-08-16,0,
OKANE,EW,USD,0.3,2024-07-25,Stk,300,0,9999-12-31,"-28,562.65",
OKANE,CRWD,USD,0.3,2024-07-26,Int / Tax,200,370,2024-10-18,450.53,Selling Covered Calls
OKANE,CRWD,USD,0.3,2024-07-26,Put,-200,370,2024-10-18,0,
OKANE,CRWD,USD,0.3,2024-07-26,Stk,200,0,9999-12-31,"-74,009.45",
OKANE,EW,USD,0.3,2024-07-26,Stk,-300,0,9999-12-31,"28,562.65",
OKANE,EW,USD,0.3,2024-07-26,Put,300,85,2025-01-17,"-3,106.93",
